Year,Population
1811,3100
1840,12000
1856,9500
1863,19200
1897,45205
1913,50000
1914,68100
1920,70026
1923,67400
1926,82249
1931,122712
1933,170500
1937,165825
1939,255236
1956,538000
1959,629118
1962,701000
1967,796000
1970,850324
1973,901000
1975,959000
1979,999157
1982,1028000
1985,1062000
1986,1061000
1987,1075000
1989,1090944
1990,1044000
1991,1100000
1992,1099000
1993,1093000
1994,1086000
1995,1033000
1996,1029000
1997,1025000
1998,1023000
1999,1017100
2000,1009700
2001,1004800
2002,1001653
2004,994600
2005,989500
2006,993300
2007,990200
2008,987234
2009,985794
2010,991162
2011,991882
2012,1000672
2013,1013887
2014,1026477
2015,1036469
2016,1041876
2017,1048005
2018,1051583
2019,1053938
2020,1055397
2021,1034002



